Detector, Descriptor, Img#, TTC_Lidar, TTC_Camera
FAST, BRIEF, 0000, 
FAST, BRIEF, 0001, 12.5156, 27.7802
FAST, BRIEF, 0002, 12.6142, -10.9113
FAST, BRIEF, 0003, 14.091, nan
FAST, BRIEF, 0004, 16.6894, -186.909
FAST, BRIEF, 0005, 15.9082, -18.7964
FAST, BRIEF, 0006, 12.6787, 133.612
FAST, BRIEF, 0007, 11.9844, 11.3035
FAST, BRIEF, 0008, 13.1241, 11.3515
FAST, BRIEF, 0009, 13.0241, 12.1743
FAST, BRIEF, 0010, 11.1746, nan
FAST, BRIEF, 0011, 12.8086, 3276.85
FAST, BRIEF, 0012, 8.95978, 14.9123
FAST, BRIEF, 0013, 9.96439, nan
FAST, BRIEF, 0014, 9.59863, 9.98895
FAST, BRIEF, 0015, 8.57352, 10.8126
FAST, BRIEF, 0016, 9.51617, nan
FAST, BRIEF, 0017, 9.54658, 7.60926
FAST, BRIEF, 0018, 8.3988, -inf

FAST, BRISK, 0000, 
FAST, BRISK, 0001, 12.5156, 7.57996
FAST, BRISK, 0002, 12.6142, 0.0120164
FAST, BRISK, 0003, 14.091, -22.4018
FAST, BRISK, 0004, 
FAST, BRISK, 0005, 15.9082, 0.2725
FAST, BRISK, 0006, 12.6787, 6.70849
FAST, BRISK, 0007, 11.9844, 0.0372061
FAST, BRISK, 0008, 13.1241, 0.102179
FAST, BRISK, 0009, 13.0241, 5.42787
FAST, BRISK, 0010, 11.1746, 0.0791605
FAST, BRISK, 0011, 12.8086, 0.050638
FAST, BRISK, 0012, 8.95978, 0.113214
FAST, BRISK, 0013, 9.96439, 9.95076
FAST, BRISK, 0014, 9.59863, 7.02725
FAST, BRISK, 0015, 8.57352, 7.83055
FAST, BRISK, 0016, 9.51617, 6.32249
FAST, BRISK, 0017, 9.54658, 3.99708
FAST, BRISK, 0018, 8.3988, 5.0166

FAST, FREAK, 0000, 
FAST, FREAK, 0001, 12.5156, 0.245399
FAST, FREAK, 0002, 12.6142, 0.165948
FAST, FREAK, 0003, 14.091, 2.06852
FAST, FREAK, 0004, 
FAST, FREAK, 0005, 15.9082, 10.8616
FAST, FREAK, 0006, 12.6787, 12.4514
FAST, FREAK, 0007, 11.9844, 0.0312319
FAST, FREAK, 0008, 13.1241, 0.098057
FAST, FREAK, 0009, 13.0241, 0.0213973
FAST, FREAK, 0010, 11.1746, 5.08215
FAST, FREAK, 0011, 12.8086, 0.137376
FAST, FREAK, 0012, 8.95978, 3.31759
FAST, FREAK, 0013, 9.96439, 0.80311
FAST, FREAK, 0014, 9.59863, 0.102301
FAST, FREAK, 0015, 8.57352, 0.110232
FAST, FREAK, 0016, 9.51617, 16.7484
FAST, FREAK, 0017, 9.54658, 5.11209
FAST, FREAK, 0018, 8.3988, 6.20834

FAST, ORB, 0000, 
FAST, ORB, 0001, 12.5156, nan
FAST, ORB, 0002, 12.6142, nan
FAST, ORB, 0003, 14.091, 2.43317
FAST, ORB, 0004, 16.6894, 12.7125
FAST, ORB, 0005, 15.9082, 10.4584
FAST, ORB, 0006, 12.6787, 11.3362
FAST, ORB, 0007, 11.9844, 14.5986
FAST, ORB, 0008, 13.1241, -13.2644
FAST, ORB, 0009, 13.0241, 13.3232
FAST, ORB, 0010, 11.1746, -11.2619
FAST, ORB, 0011, 12.8086, 13.995
FAST, ORB, 0012, 8.95978, 0.218857
FAST, ORB, 0013, 9.96439, 11.3391
FAST, ORB, 0014, 9.59863, 6.4718
FAST, ORB, 0015, 8.57352, 12.3397
FAST, ORB, 0016, 9.51617, 1.40664
FAST, ORB, 0017, 9.54658, nan
FAST, ORB, 0018, 8.3988, 11.9619

